Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Nogoyá, ENTRE RÍOS;1,410,000;4,070,000;11,700;12.15;13.30;12.58;76;59;-104;-99;74;57;Nogoyá;ENTRE RÍOS;07/2024
Matacos, FORMOSA;592,000;3,430,000;2,940;13.95;3.84;20.21;73;66;-94;-91;67;61;Matacos;FORMOSA;07/2024
Monteros, TUCUMÁN;4,440,000;4,430,000;173,000;13.79;14.46;13.30;69;67;-96;-96;65;64;Monteros;TUCUMÁN;07/2024
Río Cuarto, CÓRDOBA;28,300,000;25,100,000;1,870,000;14.98;18.46;12.23;59;52;-98;-98;56;51;Río Cuarto;CÓRDOBA;07/2024
Florencio Varela, BUENOS AIRES;18,800,000;15,200,000;29,100,000;13.11;16.34;11.65;57;51;-100;-100;55;47;Florencio Varela;BUENOS AIRES;07/2024
General Roca, RÍO NEGRO;29,300,000;9,470,000;36,200,000;12.63;14.94;11;72;68;-99;-99;68;65;General Roca;RÍO NEGRO;07/2024
Albardón, SAN JUAN;800,000;1,040,000;628,000;16.15;12.41;10.17;68;68;-101;-99;64;64;Albardón;SAN JUAN;07/2024
Atamisqui, SANTIAGO DEL ESTERO;163,000;1,340,000;11,400;12.33;9.39;5.46;57;57;-91;-91;54;54;Atamisqui;SANTIAGO DEL ESTERO;07/2024
Lago Argentino, SANTA CRUZ;2,600,000;564,000;1,660,000;9.33;13.32;11.05;96;84;-101;-101;97;82;Lago Argentino;SANTA CRUZ;07/2024
Libertad, CHACO;695,000;1,530,000;50,700;15.04;12.52;15.66;73;59;-105;-101;70;57;Libertad;CHACO;07/2024
Formosa, FORMOSA;18,500,000;39,500,000;1,030,000;10.72;10.54;13.13;80;68;-99;-97;78;66;Formosa;FORMOSA;07/2024
Leandro N. Alem, BUENOS AIRES;1,670,000;264,000;712,000;15.48;15.26;14.82;57;55;-99;-97;53;50;Leandro N. Alem;BUENOS AIRES;07/2024
Coronel Pringles, BUENOS AIRES;461,000;296,000;2,710,000;13.97;19.66;9.85;68;52;-103;-102;63;48;Coronel Pringles;BUENOS AIRES;07/2024
