Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Minas, CÓRDOBA;7,070;294,000;--;21.74;19.99;--;55;55;-97;-97;45;45;Minas;CÓRDOBA;04/2024
Zonda, SAN JUAN;258,000;58,400;67,900;16.69;9.37;9.75;69;69;-101;-98;60;60;Zonda;SAN JUAN;04/2024
Concordia, ENTRE RÍOS;4,870,000;6,500,000;344,000;11.09;12.80;10.31;73;65;-101;-101;67;57;Concordia;ENTRE RÍOS;04/2024
Santa Fé, SANTA FE;15,900,000;17,700,000;6,940,000;9.18;13.30;9.63;73;61;-101;-101;70;53;Santa Fé;SANTA FE;04/2024
Santo Tomé, CORRIENTES;3,050,000;3,630,000;11,600;7.20;10.78;13;98;80;-104;-101;104;73;Santo Tomé;CORRIENTES;04/2024
Molinos, SALTA;10,600;342,000;--;1.43;16.01;--;756;69;-103;-102;749;60;Molinos;SALTA;04/2024
Sanagasta, LA RIOJA;214,000;25,600;--;16.10;20.45;--;69;61;-101;-101;59;51;Sanagasta;LA RIOJA;04/2024
General Pueyrredón, BUENOS AIRES;21,300,000;9,970,000;20,200,000;13.48;17.87;12.24;67;56;-100;-99;60;48;General Pueyrredón;BUENOS AIRES;04/2024
Burruyacú, TUCUMÁN;870,000;3,240,000;4,510;13.23;11.13;11.44;73;73;-105;-82;64;64;Burruyacú;TUCUMÁN;04/2024
Robles, SANTIAGO DEL ESTERO;1,900,000;3,870,000;125,000;13.08;13.96;8.66;77;72;-101;-99;69;68;Robles;SANTIAGO DEL ESTERO;04/2024
Dolores, BUENOS AIRES;1,400,000;476,000;1,440,000;10.28;20.37;6;69;52;-100;-100;63;44;Dolores;BUENOS AIRES;04/2024
Anta, SALTA;739,000;7,670,000;74,700;12.40;9.42;10.25;79;79;-102;-99;71;71;Anta;SALTA;04/2024
Cushamen, CHUBUT;325,000;21,100;1,280,000;5.28;10.19;9.48;681;90;-98;-98;723;84;Cushamen;CHUBUT;04/2024
San Javier, CÓRDOBA;1,900,000;3,320,000;49,400;11.59;13.99;3.69;80;68;-104;-101;71;62;San Javier;CÓRDOBA;04/2024
Morón, BUENOS AIRES;7,610,000;7,780,000;10,200,000;11.74;15.87;9.18;59;53;-98;-96;53;46;Morón;BUENOS AIRES;04/2024
General Paz, CORRIENTES;317,000;1,210,000;3,800;13.62;11.51;8.13;78;74;-103;-101;69;69;General Paz;CORRIENTES;04/2024
Jiménez, SANTIAGO DEL ESTERO;157,000;1,500,000;8,630;10.14;11.99;11.84;80;80;-106;-93;76;76;Jiménez;SANTIAGO DEL ESTERO;04/2024
Guasayán, SANTIAGO DEL ESTERO;930,000;987,000;48,000;6.75;12.67;3.39;84;66;-99;-90;88;55;Guasayán;SANTIAGO DEL ESTERO;04/2024
Banda, SANTIAGO DEL ESTERO;2,390,000;11,200,000;741,000;14.11;13.86;7.78;66;66;-102;-100;58;58;Banda;SANTIAGO DEL ESTERO;04/2024
Pehuajó, BUENOS AIRES;1,640,000;387,000;2,860,000;14.36;16.49;3.65;64;64;-103;-101;56;56;Pehuajó;BUENOS AIRES;04/2024
Rivadavia, MENDOZA;2,200,000;1,280,000;1,050,000;12.18;11.68;10.93;76;71;-103;-97;68;65;Rivadavia;MENDOZA;04/2024
Primero de Mayo, CHACO;266,000;959,000;3,140;11.64;10.82;8.62;78;75;-105;-103;70;70;Primero de Mayo;CHACO;04/2024
Ambato, CATAMARCA;156,000;781,000;--;1.41;13.39;--;1,264;73;-99;-99;1,137;66;Ambato;CATAMARCA;04/2024
Chapaleufú, LA PAMPA;589,000;88,200;4,910;14.57;16.61;11.89;65;65;-98;-98;56;56;Chapaleufú;LA PAMPA;04/2024
Zapala, NEUQUÉN;2,550,000;183,000;2,860,000;11.47;18.54;10.32;85;63;-100;-97;77;54;Zapala;NEUQUÉN;04/2024
Salto, BUENOS AIRES;1,720,000;444,000;1,510,000;9.50;18.83;9.03;74;56;-100;-100;67;46;Salto;BUENOS AIRES;04/2024
Escalante, CHUBUT;21,800,000;1,640,000;11,700,000;10.89;15.45;12.49;80;72;-98;-98;73;63;Escalante;CHUBUT;04/2024
Quemú Quemú, LA PAMPA;364,000;8,860;2,500;16.28;13.74;13.11;69;67;-98;-98;58;58;Quemú Quemú;LA PAMPA;04/2024
Florentino Ameghino, CHUBUT;75,900;12,800;58,400;1.87;10.66;14;894;83;-88;-88;829;74;Florentino Ameghino;CHUBUT;04/2024
Las Colonias, SANTA FE;3,330,000;4,160,000;68,900;11.04;16.41;15.83;67;59;-103;-103;62;49;Las Colonias;SANTA FE;04/2024
San Miguel, CORRIENTES;258,000;565,000;6,330;11.75;11;7.75;75;74;-99;-95;68;68;San Miguel;CORRIENTES;04/2024
Chacabuco, SAN LUIS;2,160,000;279,000;82,600;11.09;13.65;14.88;87;77;-99;-99;80;66;Chacabuco;SAN LUIS;04/2024
Conhelo, LA PAMPA;583,000;6,010;243,000;13.85;17.31;14.77;73;62;-100;-100;64;54;Conhelo;LA PAMPA;04/2024
Cañuelas, BUENOS AIRES;2,650,000;1,520,000;3,190,000;12.62;13.87;5.15;62;60;-101;-101;56;54;Cañuelas;BUENOS AIRES;04/2024
Orán, SALTA;7,330,000;22,300,000;1,350,000;8.85;12.60;6.35;108;75;-102;-99;103;71;Orán;SALTA;04/2024
O'Higgins, CHACO;94,200;1,220,000;2,080;14.12;10.12;10.02;73;73;-101;-98;64;64;O'Higgins;CHACO;04/2024
Juan Bautista Alberdi, TUCUMÁN;1,040,000;2,050,000;67,900;11.62;8.55;12.04;86;84;-99;-99;78;78;Juan Bautista Alberdi;TUCUMÁN;04/2024
Pichi Mahuida, RÍO NEGRO;710,000;80,100;1,680,000;14.22;18.73;10.99;64;61;-96;-96;55;51;Pichi Mahuida;RÍO NEGRO;04/2024
Presidencia de la Plaza, CHACO;97,500;772,000;1,630;9.69;13.64;17.60;81;64;-105;-99;76;58;Presidencia de la Plaza;CHACO;04/2024
Comandante Fernández, CHACO;2,440,000;8,540,000;330,000;11.18;10.63;13.11;81;67;-101;-99;74;62;Comandante Fernández;CHACO;04/2024
Loreto, SANTIAGO DEL ESTERO;431,000;1,930,000;7,770;9.72;13.95;2.03;77;68;-105;-101;75;62;Loreto;SANTIAGO DEL ESTERO;04/2024
San Isidro, BUENOS AIRES;6,040,000;8,110,000;7,620,000;15.16;16.79;12.16;54;52;-97;-97;46;45;San Isidro;BUENOS AIRES;04/2024
Bolívar, BUENOS AIRES;799,000;543,000;2,360,000;16.86;19.25;5.53;63;54;-102;-99;53;44;Bolívar;BUENOS AIRES;04/2024
Cachi, SALTA;27,400;924,000;--;1.41;15.29;--;1,037;74;-98;-98;950;65;Cachi;SALTA;04/2024
Valle Grande, JUJUY;--;50,700;--;--;0.50;--;--;--;--;--;--;--;Valle Grande;JUJUY;04/2024
Yavi, JUJUY;238,000;2,760,000;326;13.40;10.22;13.77;84;82;-101;-94;74;74;Yavi;JUJUY;04/2024
La Matanza, BUENOS AIRES;31,200,000;39,100,000;52,800,000;15;17.26;9.81;56;51;-99;-96;47;43;La Matanza;BUENOS AIRES;04/2024
Bermejo, CHACO;354,000;2,530,000;2,530;13.59;11.82;8.68;72;69;-101;-94;63;63;Bermejo;CHACO;04/2024
Almirante Brown, CHACO;133,000;3,090,000;870;15.32;10.42;12.52;74;69;-99;-96;64;64;Almirante Brown;CHACO;04/2024
Tumbaya, JUJUY;217,000;846,000;2,690;15.17;15.09;11.08;75;75;-92;-92;65;65;Tumbaya;JUJUY;04/2024
Diamante, ENTRE RÍOS;961,000;2,430,000;18,400;13.19;14.38;15.34;69;63;-103;-102;61;54;Diamante;ENTRE RÍOS;04/2024
Empedrado, CORRIENTES;810,000;957,000;7,450;10.69;8.69;11.10;80;70;-103;-103;74;73;Empedrado;CORRIENTES;04/2024
Navarro, BUENOS AIRES;880,000;131,000;348,000;15.11;2.57;9.34;59;59;-101;-101;51;44;Navarro;BUENOS AIRES;04/2024
Los Andes, SALTA;147,000;714,000;--;1.10;15.93;--;1,316;78;-93;-93;1,183;71;Los Andes;SALTA;04/2024
Gobernador Dupuy, SAN LUIS;490,000;8,230;847,000;14.69;1.95;7.84;74;74;-100;-99;64;64;Gobernador Dupuy;SAN LUIS;04/2024
Benito Juárez, BUENOS AIRES;1,350,000;219,000;309,000;11.18;15.56;6.78;76;69;-100;-100;69;59;Benito Juárez;BUENOS AIRES;04/2024
San Antonio, RÍO NEGRO;980,000;209,000;3,910,000;12.59;19.65;13.89;79;66;-99;-98;71;54;San Antonio;RÍO NEGRO;04/2024
San Pedro, BUENOS AIRES;3,890,000;1,830,000;600,000;12.41;16.25;12.81;60;58;-99;-99;53;50;San Pedro;BUENOS AIRES;04/2024
Picunches, NEUQUÉN;563,000;7,780;56,800;6.65;2.25;6.34;107;107;-105;-103;112;112;Picunches;NEUQUÉN;04/2024
Tucumán, TUCUMÁN;18,100,000;29,000,000;4,640,000;12.11;16.10;9.23;74;59;-98;-97;68;54;Tucumán;TUCUMÁN;04/2024
San Cayetano, BUENOS AIRES;166,000;350,000;9,880;11.98;10.77;7.16;74;74;-107;-106;68;68;San Cayetano;BUENOS AIRES;04/2024
Luján, BUENOS AIRES;2,460,000;5,000,000;4,200,000;18.86;14.42;11.85;55;55;-102;-102;45;45;Luján;BUENOS AIRES;04/2024
9 de Julio, SAN JUAN;173,000;61,500;646,000;13.42;8.65;10.95;74;74;-101;-98;64;64;9 de Julio;SAN JUAN;04/2024
San Carlos, SALTA;21,300;401,000;589;16.33;16.77;18.45;76;64;-95;-84;66;56;San Carlos;SALTA;04/2024
Libertador General San Martín, MISIONES;1,860,000;2,820,000;4,180;11.49;8.57;8.04;82;80;-102;-94;73;73;Libertador General San Martín;MISIONES;04/2024
Sarmiento, SANTIAGO DEL ESTERO;506,000;502,000;78,900;6.76;18.82;3.36;97;60;-96;-88;89;53;Sarmiento;SANTIAGO DEL ESTERO;04/2024
Balcarce, BUENOS AIRES;1,680,000;1,990,000;895,000;12.17;14.22;8.09;69;66;-102;-100;62;58;Balcarce;BUENOS AIRES;04/2024
Apóstoles, MISIONES;730,000;3,380,000;6,030;13.25;10.05;12.81;76;76;-102;-95;66;66;Apóstoles;MISIONES;04/2024
Salliqueló, BUENOS AIRES;352,000;30,100;106,000;14.92;16.35;13.83;63;63;-100;-95;54;54;Salliqueló;BUENOS AIRES;04/2024
Curuzú Cuatiá, CORRIENTES;795,000;1,780,000;67,600;12.10;10.11;13.20;83;78;-102;-98;75;69;Curuzú Cuatiá;CORRIENTES;04/2024
Figueroa, SANTIAGO DEL ESTERO;19,000;860,000;--;11.56;8.33;--;82;82;-109;-106;77;77;Figueroa;SANTIAGO DEL ESTERO;04/2024
Tercero Arriba, CÓRDOBA;5,740,000;2,190,000;106,000;13.83;21.33;11.34;64;55;-99;-99;55;47;Tercero Arriba;CÓRDOBA;04/2024
Iriondo, SANTA FE;2,500,000;4,160,000;266,000;11.85;14.65;10.86;69;59;-100;-100;62;51;Iriondo;SANTA FE;04/2024
Río Chico, SANTA CRUZ;318,000;1,040;66,700;14.79;6.65;12;76;76;-89;-89;66;66;Río Chico;SANTA CRUZ;04/2024
Quebrachos, SANTIAGO DEL ESTERO;942;1,230,000;--;3.12;7.10;--;101;95;-94;-94;124;101;Quebrachos;SANTIAGO DEL ESTERO;04/2024
Ischilín, CÓRDOBA;1,470,000;1,130,000;11,500;14.59;17.75;10.68;61;56;-100;-98;53;49;Ischilín;CÓRDOBA;04/2024
Concepción, MISIONES;174,000;733,000;505;13.26;10.02;7.26;73;73;-101;-83;64;64;Concepción;MISIONES;04/2024
Puán, BUENOS AIRES;329,000;75,200;833,000;16.04;14.37;14.60;66;62;-100;-100;56;54;Puán;BUENOS AIRES;04/2024
Picún Leufú, NEUQUÉN;207,000;7,630;584,000;17.59;11.66;12.25;66;66;-98;-95;55;55;Picún Leufú;NEUQUÉN;04/2024
San Rafael, MENDOZA;4,570,000;467,000;4,990,000;14.20;14.87;11.49;74;68;-101;-101;65;59;San Rafael;MENDOZA;04/2024
Eldorado, MISIONES;1,340,000;8,900,000;66,900;12.11;11.72;15.02;85;73;-103;-102;76;61;Eldorado;MISIONES;04/2024
El Cuy, RÍO NEGRO;40,300;16,900;114,000;15.13;8.94;10.81;69;69;-89;-89;58;58;El Cuy;RÍO NEGRO;04/2024
General Güemes, SALTA;4,530,000;2,900,000;290,000;10.56;13.44;9.39;86;72;-100;-99;81;69;General Güemes;SALTA;04/2024
Unión, CÓRDOBA;5,010,000;2,720,000;93,000;12.95;20.68;12.03;68;57;-98;-98;60;48;Unión;CÓRDOBA;04/2024
Brandsen, BUENOS AIRES;1,970,000;419,000;1,760,000;10.78;16.92;6.85;64;52;-102;-102;60;45;Brandsen;BUENOS AIRES;04/2024
Carlos Tejedor, BUENOS AIRES;480,000;156,000;224,000;15.64;19.05;17.54;64;55;-99;-93;55;46;Carlos Tejedor;BUENOS AIRES;04/2024
General López, SANTA FE;7,560,000;7,860,000;242,000;13.17;16.18;14.25;68;60;-101;-101;60;51;General López;SANTA FE;04/2024
Calingasta, SAN JUAN;40,400;117,000;596,000;1.10;11.77;11.33;1,295;77;-101;-89;1,162;75;Calingasta;SAN JUAN;04/2024
La Costa, BUENOS AIRES;3,370,000;2,210,000;9,810,000;13.52;19.99;13.15;81;51;-103;-100;71;42;La Costa;BUENOS AIRES;04/2024
San Nicolás, BUENOS AIRES;6,000,000;4,930,000;999,000;10.52;11.58;11.12;69;65;-102;-100;64;61;San Nicolás;BUENOS AIRES;04/2024
Río Grande, TIERRA DEL FUEGO;7,960,000;882,000;8,500,000;10.86;13.70;8.77;91;86;-96;-96;82;77;Río Grande;TIERRA DEL FUEGO;04/2024
25 de Mayo, BUENOS AIRES;1,500,000;298,000;2,180,000;13.56;16.86;6.01;67;57;-100;-100;58;44;25 de Mayo;BUENOS AIRES;04/2024
Avellaneda, BUENOS AIRES;8,850,000;9,660,000;17,500,000;13.70;17.10;9.44;56;51;-98;-97;49;44;Avellaneda;BUENOS AIRES;04/2024
Aguirre, SANTIAGO DEL ESTERO;138,000;1,330,000;1,070;15.40;9.68;11.71;74;74;-97;-90;63;63;Aguirre;SANTIAGO DEL ESTERO;04/2024
Limay Mahuida, LA PAMPA;31,300;--;--;4.84;--;--;612;612;-81;-81;646;646;Limay Mahuida;LA PAMPA;04/2024
Escobar, BUENOS AIRES;8,020,000;11,400,000;11,000,000;15.17;18.27;10.35;55;51;-99;-98;47;44;Escobar;BUENOS AIRES;04/2024
Pilcomayo, FORMOSA;2,460,000;7,880,000;175,000;10.85;10.12;14.15;85;73;-99;-99;78;66;Pilcomayo;FORMOSA;04/2024
Tornquist, BUENOS AIRES;654,000;37,900;502,000;12.11;16.78;15.49;66;66;-97;-97;59;57;Tornquist;BUENOS AIRES;04/2024
General Alvear, MENDOZA;607,000;84,600;1,570,000;15.51;17.64;11.74;74;71;-105;-101;65;60;General Alvear;MENDOZA;04/2024
San Andrés de Giles, BUENOS AIRES;495,000;370,000;1,660,000;15.65;16.55;9.94;65;58;-101;-101;57;50;San Andrés de Giles;BUENOS AIRES;04/2024
Pehuenches, NEUQUÉN;3,560,000;705;1,950,000;4.47;2.09;9.75;110;78;-101;-100;128;80;Pehuenches;NEUQUÉN;04/2024
Mar Chiquita, BUENOS AIRES;1,650,000;689,000;2,030,000;13.34;19.66;12.85;68;58;-101;-101;60;48;Mar Chiquita;BUENOS AIRES;04/2024
Chicligasta, TUCUMÁN;2,370,000;5,450,000;122,000;12.55;12.63;11.32;74;69;-98;-98;67;65;Chicligasta;TUCUMÁN;04/2024
Caseros, SANTA FE;2,570,000;4,360,000;129,000;14.18;13.97;15.29;64;62;-102;-102;56;54;Caseros;SANTA FE;04/2024
Mendoza, MENDOZA;7,970,000;1,730,000;7,330,000;12.93;19.24;11.99;72;60;-97;-97;64;52;Mendoza;MENDOZA;04/2024
Caucete, SAN JUAN;688,000;298,000;1,040,000;11.45;13.73;11.93;83;70;-101;-101;75;63;Caucete;SAN JUAN;04/2024
Santa Lucía, SAN JUAN;831,000;958,000;2,260,000;14.30;17.97;10.86;72;65;-102;-99;63;56;Santa Lucía;SAN JUAN;04/2024
General Taboada, SANTIAGO DEL ESTERO;742,000;4,630,000;14,600;12.68;6.54;9.06;80;80;-102;-96;73;73;General Taboada;SANTIAGO DEL ESTERO;04/2024
Adolfo Gonzales Chaves, BUENOS AIRES;654,000;261,000;195,000;8.18;16.87;14.56;83;65;-96;-96;66;56;Adolfo Gonzales Chaves;BUENOS AIRES;04/2024
Antofagasta de la Sierra, CATAMARCA;163,000;2,010;--;1.29;1.06;--;1,312;1,204;-92;-92;1,189;1,035;Antofagasta de la Sierra;CATAMARCA;04/2024
Sarmiento, SAN JUAN;918,000;620,000;566,000;13;10.75;9.35;76;76;-99;-98;67;67;Sarmiento;SAN JUAN;04/2024
Humahuaca, JUJUY;275,000;2,300,000;1,270;8.43;12.02;9.51;107;75;-100;-86;95;70;Humahuaca;JUJUY;04/2024
Mburucuyá, CORRIENTES;261,000;575,000;953;13.32;11.53;8.11;81;70;-104;-95;73;72;Mburucuyá;CORRIENTES;04/2024
Goya, CORRIENTES;1,500,000;3,960,000;258,000;12.15;14.62;13.30;82;65;-100;-100;74;57;Goya;CORRIENTES;04/2024
Calamuchita, CÓRDOBA;7,090,000;2,280,000;232,000;12.17;16.92;10.73;64;59;-101;-101;58;52;Calamuchita;CÓRDOBA;04/2024
San Justo, SANTA FE;863,000;1,960,000;32,000;14.21;14.73;17.97;64;61;-103;-100;56;49;San Justo;SANTA FE;04/2024
Bahía Blanca, BUENOS AIRES;9,100,000;6,710,000;21,200,000;11.37;16.83;8.74;69;58;-101;-98;63;51;Bahía Blanca;BUENOS AIRES;04/2024
Castellanos, SANTA FE;5,060,000;7,560,000;189,000;14.19;14.46;14;64;64;-102;-100;56;56;Castellanos;SANTA FE;04/2024
Concepción, CORRIENTES;420,000;1,440,000;427;12.92;8.32;--;75;75;-98;-98;66;66;Concepción;CORRIENTES;04/2024
Añelo, NEUQUÉN;5,900,000;1,250,000;4,780,000;6.94;9.28;8.41;94;94;-100;-99;98;98;Añelo;NEUQUÉN;04/2024
La Caldera, SALTA;592,000;585,000;99,900;11.99;18.26;8.73;80;64;-103;-100;73;57;La Caldera;SALTA;04/2024
Chivilcoy, BUENOS AIRES;1,110,000;1,100,000;2,910,000;12.62;13.80;11.31;76;59;-98;-98;67;51;Chivilcoy;BUENOS AIRES;04/2024
Lanús, BUENOS AIRES;7,220,000;8,300,000;14,300,000;12.92;17.45;10.96;58;51;-99;-97;51;44;Lanús;BUENOS AIRES;04/2024
Río Hondo, SANTIAGO DEL ESTERO;2,680,000;5,210,000;668,000;16.54;15.55;8.94;62;62;-98;-98;53;53;Río Hondo;SANTIAGO DEL ESTERO;04/2024
Chical Co, LA PAMPA;1,850;5,760;--;11.46;8.20;--;102;83;-110;-110;98;84;Chical Co;LA PAMPA;04/2024
Coronel Felipe Varela, LA RIOJA;52,900;1,020,000;1,990;9.96;16.54;17.50;88;67;-97;-85;72;58;Coronel Felipe Varela;LA RIOJA;04/2024
Belén, CATAMARCA;1,160,000;2,260,000;6,410;10.01;10.81;3.73;97;83;-103;-103;88;79;Belén;CATAMARCA;04/2024
Saladillo, BUENOS AIRES;1,080,000;388,000;1,600,000;12.29;17.53;9.06;68;55;-101;-100;60;47;Saladillo;BUENOS AIRES;04/2024
Toay, LA PAMPA;611,000;91,700;431,000;12.61;15.19;13.83;72;64;-104;-101;63;55;Toay;LA PAMPA;04/2024
Gualeguaychú, ENTRE RÍOS;3,780,000;4,270,000;1,190,000;10.76;12.25;12.67;76;66;-102;-102;69;58;Gualeguaychú;ENTRE RÍOS;04/2024
Coronel de Marina Leonardo Rosales, BUENOS AIRES;1,310,000;2,250,000;2,510,000;13.55;16.37;11.83;65;65;-103;-100;57;57;Coronel de Marina Leonardo Rosales;BUENOS AIRES;04/2024
Malvinas Argentinas, BUENOS AIRES;8,280,000;9,820,000;12,900,000;13.74;16.53;9.56;58;53;-99;-98;51;46;Malvinas Argentinas;BUENOS AIRES;04/2024
Río Chico, TUCUMÁN;1,660,000;2,400,000;598,000;7.16;15.51;7.92;100;65;-103;-100;93;59;Río Chico;TUCUMÁN;04/2024
San Luis del Palmar, CORRIENTES;417,000;557,000;7,550;13.88;5.49;10.69;72;72;-102;-100;64;64;San Luis del Palmar;CORRIENTES;04/2024
General Angel V. Peñaloza, LA RIOJA;21,900;211,000;751;17.62;17.48;20.15;69;62;-92;-90;60;51;General Angel V. Peñaloza;LA RIOJA;04/2024
Independencia, LA RIOJA;51,000;130,000;653;16.43;19.94;19.52;69;60;-96;-90;60;50;Independencia;LA RIOJA;04/2024
Capital Federal, CIUDAD AUTÓNOMA DE BUENOS AIRES;70,000,000;100,000,000;123,000,000;13.56;17.67;12.39;54;50;-95;-95;47;43;Capital Federal;CIUDAD AUTÓNOMA DE BUENOS AIRES;04/2024
Lules, TUCUMÁN;2,270,000;3,840,000;133,000;13.28;15.21;9.63;76;64;-102;-99;68;58;Lules;TUCUMÁN;04/2024
Victoria, ENTRE RÍOS;1,560,000;2,410,000;248,000;10.45;12.92;10.14;69;69;-101;-101;63;63;Victoria;ENTRE RÍOS;04/2024
Pellegrini, SANTIAGO DEL ESTERO;29,700;2,070,000;60,200;13.42;9.24;9.35;78;78;-104;-99;69;69;Pellegrini;SANTIAGO DEL ESTERO;04/2024
San Pedro, JUJUY;3,380,000;8,420,000;280,000;12.94;14.94;8.30;78;71;-99;-99;70;65;San Pedro;JUJUY;04/2024
Baradero, BUENOS AIRES;1,490,000;3,090,000;307,000;11.69;12.31;12.07;62;62;-103;-103;57;57;Baradero;BUENOS AIRES;04/2024
Cruz Alta, TUCUMÁN;6,240,000;14,700,000;1,570,000;12.68;14.80;8.72;76;62;-102;-99;69;57;Cruz Alta;TUCUMÁN;04/2024
San Juan, SAN JUAN;3,540,000;2,240,000;8,070,000;14.11;19.18;11.52;71;62;-99;-94;63;54;San Juan;SAN JUAN;04/2024
9 de Julio, CHACO;84,800;1,990,000;473;16.82;9.91;9.27;74;74;-104;-103;64;64;9 de Julio;CHACO;04/2024
Corrientes, CORRIENTES;13,300,000;19,800,000;2,140,000;10.67;10.95;12.14;81;67;-101;-101;76;63;Corrientes;CORRIENTES;04/2024
Ensenada, BUENOS AIRES;561,000;2,590,000;3,970,000;12.12;15.31;10.59;60;56;-104;-102;54;50;Ensenada;BUENOS AIRES;04/2024
Ezeiza, BUENOS AIRES;6,290,000;5,440,000;11,900,000;14.07;18.25;10.02;56;51;-101;-101;49;43;Ezeiza;BUENOS AIRES;04/2024
Quitilipi, CHACO;264,000;2,420,000;24,000;15.49;9.01;14.37;72;68;-100;-96;62;62;Quitilipi;CHACO;04/2024
Coronel Pringles, SAN LUIS;1,250,000;117,000;168,000;11.65;16.71;11.43;88;77;-103;-102;79;67;Coronel Pringles;SAN LUIS;04/2024
Rivadavia, SALTA;367,000;3,000,000;243;10.01;9.88;--;104;96;-93;-92;94;90;Rivadavia;SALTA;04/2024
Yerba Buena, TUCUMÁN;2,410,000;2,910,000;395,000;14.12;20.39;9.47;70;56;-98;-98;61;50;Yerba Buena;TUCUMÁN;04/2024
La Viña, SALTA;93,400;1,720,000;23,700;14.03;11.20;11.06;75;75;-102;-97;67;67;La Viña;SALTA;04/2024
San Fernando, BUENOS AIRES;4,400,000;6,650,000;4,910,000;13.65;15.52;10.45;56;54;-98;-98;48;48;San Fernando;BUENOS AIRES;04/2024
Tapalqué, BUENOS AIRES;464,000;120,000;6,450;10.09;18.24;15.68;97;60;-105;-99;91;50;Tapalqué;BUENOS AIRES;04/2024
Pirané, FORMOSA;1,940,000;4,060,000;7,260;11.72;10.63;14.55;87;75;-100;-100;78;68;Pirané;FORMOSA;04/2024
Mayor Luis J. Fontana, CHACO;966,000;3,790,000;7,120;11.62;9.60;13;82;75;-104;-101;74;64;Mayor Luis J. Fontana;CHACO;04/2024
Guaymallén, MENDOZA;11,600,000;2,980,000;8,670,000;12.03;17.70;11.36;75;63;-100;-99;68;55;Guaymallén;MENDOZA;04/2024
Susques, JUJUY;33,400;123,000;--;1.50;0.54;--;923;923;-91;-91;856;856;Susques;JUJUY;04/2024
Avellaneda, SANTIAGO DEL ESTERO;496,000;2,720,000;9,290;12.52;12.06;11.52;80;70;-100;-93;70;67;Avellaneda;SANTIAGO DEL ESTERO;04/2024
Tapenagá, CHACO;66,200;131,000;--;16.22;19.12;--;68;55;-89;-89;57;44;Tapenagá;CHACO;04/2024
General Obligado, SANTA FE;3,830,000;5,830,000;147,000;13.52;14.16;16.18;68;65;-102;-102;61;54;General Obligado;SANTA FE;04/2024
Santiago del Estero, SANTIAGO DEL ESTERO;5,940,000;17,500,000;929,000;12.48;14.72;10.18;66;63;-101;-100;59;58;Santiago del Estero;SANTIAGO DEL ESTERO;04/2024
San Jerónimo, SANTA FE;2,230,000;4,390,000;313,000;11.77;15.14;13.36;72;58;-102;-100;65;49;San Jerónimo;SANTA FE;04/2024
Sargento Cabral, CHACO;67,400;1,100,000;3,260;14.32;13.92;14.78;68;63;-97;-91;60;55;Sargento Cabral;CHACO;04/2024
Iguazú, MISIONES;3,690,000;9,190,000;44,200;10.79;11.33;10.60;87;74;-100;-96;79;68;Iguazú;MISIONES;04/2024
Palpalá, JUJUY;1,370,000;2,060,000;132,000;13.16;11.72;10.01;77;73;-99;-99;69;69;Palpalá;JUJUY;04/2024
12 de Octubre, CHACO;115,000;2,260,000;4,390;12.75;13.38;18.67;76;67;-101;-98;64;59;12 de Octubre;CHACO;04/2024
Hucal, LA PAMPA;294,000;527;131,000;17.65;16.21;13.23;61;61;-96;-96;51;51;Hucal;LA PAMPA;04/2024
Colón, BUENOS AIRES;1,420,000;226,000;105,000;10.28;13.34;9.65;70;63;-103;-103;68;56;Colón;BUENOS AIRES;04/2024
Confluencia, NEUQUÉN;23,600,000;7,060,000;28,900,000;10.93;12.83;10.20;77;77;-100;-100;71;70;Confluencia;NEUQUÉN;04/2024
San Blas de los Sauces, LA RIOJA;39,800;221,000;562;12.12;16.14;6.41;89;73;-106;-106;80;62;San Blas de los Sauces;LA RIOJA;04/2024
25 de Mayo, MISIONES;76,000;1,040,000;--;12.83;8.85;--;94;89;-106;-106;84;84;25 de Mayo;MISIONES;04/2024
Leandro N. Alem, MISIONES;271,000;2,390,000;493;16.26;12.05;13.38;70;70;-97;-85;61;61;Leandro N. Alem;MISIONES;04/2024
Minas, NEUQUÉN;44,800;--;255;1.34;--;--;1,112;77;-101;-91;1,045;67;Minas;NEUQUÉN;04/2024
Las Heras, MENDOZA;5,840,000;2,660,000;6,560,000;12.59;15.99;12.02;76;64;-101;-100;68;55;Las Heras;MENDOZA;04/2024
La Cocha, TUCUMÁN;452,000;1,440,000;4,360;10;8.92;9.97;91;84;-100;-95;85;84;La Cocha;TUCUMÁN;04/2024
Loventué, LA PAMPA;297,000;2,190;281,000;11.62;9.22;7.41;84;69;-99;-93;75;65;Loventué;LA PAMPA;04/2024
Constitución, SANTA FE;3,250,000;3,310,000;229,000;11.71;16.37;11.50;66;58;-101;-101;60;49;Constitución;SANTA FE;04/2024
Santa María, CATAMARCA;226,000;1,720,000;--;11.87;8.18;--;72;72;-95;-95;65;65;Santa María;CATAMARCA;04/2024
Paso de los Libres, CORRIENTES;2,930,000;3,760,000;84,000;8.88;11.61;11.30;90;71;-100;-100;84;65;Paso de los Libres;CORRIENTES;04/2024
9 de Julio, SANTA FE;337,000;2,890,000;536;13.26;8.70;12.73;80;80;-97;-97;70;70;9 de Julio;SANTA FE;04/2024
